Price,Address,Beds,Baths,Sqft,URL
$975000,6298 Iginlas Goal Ave Las Vegas NV 89131,5,5,4323,https://www.redfin.com/NV/Las-Vegas/6298-Iginlas-Goal-Ave-89131/home/29045832
$759000,9572 Staff Ln Las Vegas NV 89178,5,4,3399,https://www.redfin.com/NV/Las-Vegas/9572-Staff-Ln-89178/home/29055834
$675000,5442 Tartan Hill Ave Las Vegas NV 89141,5,3.5,3971,https://www.redfin.com/NV/Las-Vegas/5442-Tartan-Hill-Ave-89141/home/65557303
$799900,7659 Belgian Lion St Las Vegas NV 89139,5,3.5,5043,https://www.redfin.com/NV/Las-Vegas/7659-Belgian-Lion-St-89139/home/29834122
$575000,8425 Haven Brook Ct Las Vegas NV 89128,5,3,2451,https://www.redfin.com/NV/Las-Vegas/8425-Haven-Brook-Ct-89128/home/29141914
$799000,175 Samoset Ct Las Vegas NV 89148,5,3,3388,https://www.redfin.com/NV/Las-Vegas/175-Samoset-Ct-89148/home/28973273
$649900,4008 Joy Glen Rd Las Vegas NV 89129,5,4.5,3333,https://www.redfin.com/NV/Las-Vegas/4008-Joy-Glen-Rd-89129/home/29120879
N/A,N/A,N/A,N/A,N/A,N/A
$649900,8209 Ebony Peak St Las Vegas NV 89143,5,3,3297,https://www.redfin.com/NV/Las-Vegas/8209-Ebony-Peak-St-89143/home/29088378
$694000,6900 Fruit Flower Ave Las Vegas NV 89130,5,4,2965,https://www.redfin.com/NV/Las-Vegas/6900-Fruit-Flower-Ave-89130/home/29099520
$590000,5110 Evaline St Las Vegas NV 89120,5,4,4285,https://www.redfin.com/NV/Las-Vegas/5110-Evaline-St-89120/home/29510409
$699000,6402 Parrot Ridge Ct Las Vegas NV 89139,5,3.5,4147,https://www.redfin.com/NV/Las-Vegas/6402-Parrot-Ridge-Ct-89139/home/52625622
$527518,10179 Glowing Amber St Las Vegas NV 89141,5,3,2469,https://www.redfin.com/NV/N-Las-Vegas/10179-Glowing-Amber-St-89081/home/185796001
$899000,7265 Western Sun Dr Las Vegas NV 89149,5,3,3442,https://www.redfin.com/NV/Las-Vegas/7265-Western-Sun-Dr-89149/home/166523516
$529000,3194 Cereus Ave Las Vegas NV 89146,5,4,2162,https://www.redfin.com/NV/Las-Vegas/3194-Cereus-Ave-89146/home/29540255
$670000,5311 Dorrell Ln Las Vegas NV 89131,5,3,2034,https://www.redfin.com/NV/Las-Vegas/5311-Dorrell-Ln-89131/home/29092701
$720000,8428 Dutch Hill Ct Las Vegas NV 89128,5,3.5,3068,https://www.redfin.com/NV/Las-Vegas/8428-Dutch-Hill-Ct-89128/home/29161377
N/A,N/A,N/A,N/A,N/A,N/A
$575000,3508 N Tenaya Way Las Vegas NV 89129,5,3.5,3501,https://www.redfin.com/NV/Las-Vegas/3508-N-Tenaya-Way-89129/home/29130448
$604900,8957 Tempest Point Ct Las Vegas NV 89147,5,3,2582,https://www.redfin.com/NV/Las-Vegas/8957-Tempest-Point-Ct-89147/home/29908958
$625000,7848 Coronado Island St Las Vegas NV 89139,5,3,3314,https://www.redfin.com/NV/Las-Vegas/7848-Coronado-Island-St-89139/home/29035716
$445000,6325 Lawton Ave Las Vegas NV 89107,5,3,1663,https://www.redfin.com/NV/Las-Vegas/6325-Lawton-Ave-89107/home/29197139
$629000,9856 Gray Sea Eagle Ave Las Vegas NV 89117,5,3,2978,https://www.redfin.com/NV/Las-Vegas/9856-Gray-Sea-Eagle-Ave-89117/home/29555038
$440000,5956 Sandra Field Ct Las Vegas NV 89110,5,2.5,2069,https://www.redfin.com/NV/Las-Vegas/5956-Sandra-Field-Ct-89110/home/29933198
$599000,10677 Auburn Springs Ave Las Vegas NV 89166,5,3,2996,https://www.redfin.com/NV/Las-Vegas/10677-Auburn-Springs-Ave-89166/home/49786927
$864950,1328 Cranston Ct Las Vegas NV 89135,5,3,3146,https://www.redfin.com/NV/Las-Vegas/1328-Cranston-Ct-89135/home/29032633
$949000,7221 Cypress Run Dr Las Vegas NV 89131,5,4.5,4148,https://www.redfin.com/NV/Las-Vegas/7221-Cypress-Run-Dr-89131/home/29021089
$620000,6352 Peppermill Dr Las Vegas NV 89146,5,3.5,2432,https://www.redfin.com/NV/Las-Vegas/6352-Peppermill-Dr-89146/home/29520131
$799900,7939 Brianna Cheerful Ave Las Vegas NV 89178,5,3,4078,https://www.redfin.com/NV/Las-Vegas/7939-Brianna-Cheerful-Ave-89178/home/40233052
$658000,8402 Tibana Way Las Vegas NV 89147,5,3.5,2723,https://www.redfin.com/NV/Las-Vegas/8402-Tibana-Way-89147/home/29560932
$850000,5200 Silent Hope Ave Las Vegas NV 89131,5,3,4071,https://www.redfin.com/NV/Las-Vegas/5200-Silent-Hope-Ave-89131/home/29003339
$950000,6520 W Cheyenne Ave Las Vegas NV 89108,5,4,3634,https://www.redfin.com/NV/Las-Vegas/6520-W-Cheyenne-Ave-89108/home/29131245
$518000,6322 Jackson Spring Rd Las Vegas NV 89118,5,2.5,2277,https://www.redfin.com/NV/Las-Vegas/6322-Jackson-Spring-Rd-89118/home/144625000
$908000,7292 White Bloom Ave Las Vegas NV 89117,5,3.5,4036,https://www.redfin.com/NV/Las-Vegas/7292-White-Bloom-Ave-89117/home/65558571
$744900,128 Honors Course Dr Las Vegas NV 89148,5,4.5,3428,https://www.redfin.com/NV/Las-Vegas/128-Honors-Course-Dr-89148/home/29768828
$950000,12137 Vista Linda Ave Las Vegas NV 89138,5,3,3044,https://www.redfin.com/NV/Las-Vegas/12137-Vista-Linda-Ave-89138/home/29025089
N/A,N/A,N/A,N/A,N/A,N/A
$975000,112 Aneto St Las Vegas NV 89138,5,3.5,2759,https://www.redfin.com/NV/Las-Vegas/112-Aneto-St-89138/home/173181884
$679000,7931 Slip Point Ave Las Vegas NV 89147,5,4,3269,https://www.redfin.com/NV/Las-Vegas/7931-Slip-Point-Ave-89147/home/45356940
$925000,4618 El Camino Cabos Dr Las Vegas NV 89147,5,3.5,4396,https://www.redfin.com/NV/Las-Vegas/4618-El-Camino-Cabos-Dr-89147/home/29559517
$635000,2625 Crystal Quartz St Las Vegas NV 89146,5,3,3113,https://www.redfin.com/NV/Las-Vegas/2625-Crystal-Quartz-St-89146/home/167727584
$675000,1700 Desert Fort St Las Vegas NV 89128,5,3,3073,https://www.redfin.com/NV/Las-Vegas/1700-Desert-Fort-St-89128/home/29163686
$549999,5353 Stirrup St Las Vegas NV 89119,5,4,1991,https://www.redfin.com/NV/Las-Vegas/5353-Stirrup-St-89119/home/29514701
$930000,8320 Mount Logan Ct Las Vegas NV 89131,5,3.5,4148,https://www.redfin.com/NV/Las-Vegas/8320-Mt-Logan-Ct-89131/home/147381770
$750000,6020 Ancient Peaks Ave Las Vegas NV 89141,5,3,4027,https://www.redfin.com/NV/Las-Vegas/6020-Ancient-Peaks-Ave-89141/home/167763720
